기업,기사발행일,기사제목,뉴스기사본문
KCW,2014.12.10. 오전 9:16,"코스닥 강보합 출발, 중국株 재차강세","[머니투데이 황국상 기자]코스닥지수가 강보합권에서 출발했다. 전일 동반급등한 국내상장 중국주의 주가도 급등하는 모습이다.

10일 오전 9시7분 현재 코스닥은 전일 대비 0.16% 오른 547.46을 기록하고 있다. 전일 6거래일만에 546.57로 약세마감한 코스닥은 이날 547.79(+0.22%)에 시초가를 형성했으나 추가적인 상승탄력을 받지 못하는 모습이다.

현재 코스닥에서는 상한가 3개 등 447개 종목이 주가가 오른 반면 383개 종목이 약세다. 156개 종목은 보합권에 거래되고 있다. 개인이 27억원을 순매수한 반면 외국인, 기관이 각각 15억원, 14억원을 순매도하고 있다.

업종별로는 컴퓨터서비스 업종지수가 1.31% 올랐고 디지털컨텐츠, 유통, 소프트웨어, 음식료담배 등 업종이 강보합 내지 강세를 유지하고 있다. 출판매체복제, 인터넷, 운송, 오락문화 등 업종은 상대적으로 약세다.

시가총액 상위종목 중에서는 다음카카오, 셀트리온이 각각 0.97%, 0.38% 하락했고 CJ오쇼핑, 컴투스도 약세다. 동서, 파라다이스, GS홈쇼핑이 강보합권을 유지하고 있고 메디톡스, CJ E&M 등은 1% 이상 강세를 보이고 있다.

전일 동반급등한 중국주 중 다수가 이날도 강세가 이어지는 모습이다. 이스트아시아홀딩스가 상한가를 기록한 것을 비롯해 차이나하오란, 중국원양자원, 에스앤씨엔진그룹 등이 2~9%대 상승률을 보이고 있다. 이외에 오픈베이스, KCW, 헤스폰, 신화인터텍 등도 상승률이 높은 종목군에 이름을 올렸다.

반면 솔고바이오가 8.78% 하락했고 GT&T, 나이벡, 오성엘에스티 등도 낙폭이 상대적으로 크다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

황국상기자 gshwang@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
KCW,2014.03.11. 오후 3:44,"장중 주요 뉴스, 공시 특징주(03/11)","▷ 현정은 회장, 현대엘리베이터 신주 5만8000주 취득

▷ 녹십자, 중남미에 2300만달러 독감백신 공급 시작

▷ 파라다이스, 139억 규모 법인세 환급

▷ 넥솔론, 한화 큐셀에 202억 규모 태양광 웨이퍼 공급

▷ 탑엔지니어링, 일렉스 합병 완료..고부가 검사장비 본격화

▷ 차이나그레이트, 지난해 4분기 영업익 209억..전년比 6%↑

▷ SKC라이팅, 美에너지 회사에 LED 공급

▷ 삼성전자, 세계 최초 20나노 4Gb D램 양산

▷ LG유플러스, SKT 등에서 고객정보 1230만건 또 유출

▷ 일야, 지난해 영업익 12억원..'흑자전환'

▷ 남해화학, 든든한 후원자 '농협' 등에 업은 최대 비료생산업체

▷ 소프트포럼, 지난해 영업익 9억원..전년比 44%↑

▷ 청담러닝 ""CMS에듀케이션 올해 신규 지점 15개 확장""

▷ 에이테크, 오너 2세 한달새 근 1% 매집..주가 10% 껑충

▷ 벽산, 평택미군기지 이전 병영시설 외단열 공사 시공

▷ 유비프리시젼, 지난해 영업손 2억 규모...전년비 적자폭 축소

▷ 마니커, 지난해 영업손실 1억9000만원...큰 폭 개선

▷ KCW, 지난해 영업익 34억 규모...전년비 25.1%↓

▷ 가희, 지난해 영업익 19억 규모...전년비 흑자전환

▷ 울트라건설, 도로공사와 649억 규모 공사 계약 체결

▷ 쏠리드, KT와 173억 규모 공급 계약 체결

▷ KCW, 지난해 영업익 34억..전년比 25.16%↓

▷ 쎄니트, 지난해 영업익 40억..전년比 73.7%↑

▷ SMEC, 4Q 영업익 37억..전년비 92% 증가

▷ NH농협은행, STX엔진 주식 10.85% 보유

▷ 기산텔레콤, KT와 197억원 규모 중계기 공급계약

▷ 조아제약, 지난해 영업익 16억원..전년比 66.46%↑

▷ 테라젠이텍스, 3년 만에 흑자전환 성공

▷ 해덕파워웨이, 獨기업과 25억원 규모 공급계약

▷ 다산네트웍스, 지난해 영업익 57억 규모...전년비 4.1%↓

▷ 그랜드백화점, 영업손 5억...전년비 적자폭 축소

▷ 덕양산업, 지난해 영업손실 12억...적자지속

▷ 제이씨케미칼, 지난해 영업익 25억...전년비 223.0%↑

▷ 금양, 지난해 영업익 56억...전년비 14.7%↓

▷ 경창산업, 지난해 영업익 297억...전년비 135.7%↑

★ 실시간 급등주포착 프로그램 다운받기 ☞ Click ★

▶ 특정단가(1000원, 10000원, 100000원) 부근 특징주

인트로메딕, 에스텍파마, LG유플러스, 다날, TPC, KC코트렐, 에듀박스, 영화금속, 나노스, 송원산업, 삼성생명, 와이지-원, 유아이디, 쌍용양회, 와이솔, 이엔에프테크, 참좋은레져, 동양생명, 코프라, 원풍물산

<본 정보는 인터넷한국일보에서 제공합니다>

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
에이스하이텍,2014.12.15. 오전 9:09,"[fn톡톡]파산신청 기각된 에이스하이텍, '下'","파산신청 기각으로 거래가 재개된 에이스하이텍이 하한가로 직행했다.

15일 오전 9시2분 현재 코스닥 시장에서 에이스하이텍은 전 거래일보다 111원(15.0%) 하락한 629원에 거래되고 있다.

에이스하이텍은 지난 12일 장 마감 후 청주지방으로부터 파산신청을 기각당했다고 공시했다. 이에 이날부터 주권매매 거래정지가 해제됐고 소속부도 법정관리에서 중견기업부로 변경됐다고 밝혔다.
mkchang@fnnews.com 장민권 기자


☞ 공식 SNS계정 [페이스북] [트위터] | ☞ 파이낸셜뉴스 [PC웹] [모바일웹] | ☞ 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트]


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에이스하이텍,2014.12.04. 오전 11:24,"[4일 오전 공시]에이스하이텍, 채권자의 파산신청설 조회공시 外","【서울=뉴시스】

▲에이스하이텍, 한국거래소가 채권자에 의한 파산 신청설에 대한 조회공시 요구. 답변시한은 오는 5일 오후 6시.

▲진바이오텍, 바이오 리액션을 이용한 소맥과 귀리를 원료로 하는 사료곡물의 가공방법에 관한 특허권 취득.

▲인포피아, 약제포장장치의 정제분배기에 관한 특허권 취득.

▲유니테스트, SK하이닉스와 반도체 검사장비 공급계약 체결. 계약금액은 18억6400만원으로 최근 매출액 대비 11.4%.

▲디아이디, 공진형 무선 충전 수신기의 다중 조절 스위치 장치 및 그 방법에 관한 특허권 취득.

★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요

★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
에이스하이텍,2014.12.12. 오후 6:04,"에이스하이텍, 파산 신청 기각","[머니투데이 김도윤 기자]에이스하이텍은 청주지방법원으로부터 파산신청을 기각당했다고 12일 공시했다. 기각 사유는 결정문을 송달받는 즉시 재공시할 계획이다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

김도윤기자 justice@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,2014.12.05. 오후 5:38,"에이스하이텍 ""채권자가 법원에 파산신청""","[이데일리 임성영 기자] 에이스하이텍(071930)은 거래소의 채권자의 파산신청설에 대한 조회공시 요구에 “채권자 김병준씨가 청주지방법원에 파산신청(사건번호 2014하합5)을 했다”고 5일 밝혔다.

회사측은 “파산신청의 내용을 파악중에 있다”면서 “소송대리인을 통해 향후 파산절차 남용을 방지하기 위햐 합의나 취하하지 않고 각하 또는 기각 되도록 신속히 대응할 것”이라고 밝혔다.

이어 “이번 사건이 파산절차 남용등 기타 사유로 인해 각하 또는 기각 결정이 될 경우 당사 및 소액주주들의 피해에 대해 신청자를 상대로 손해배상 청구 소송을 진행 할 예정”이라고 말했다.

한편 신청인 김병준씨는 5억원 규모의 채권을 보유하고 있다.





임성영 (rosa8341@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이스하이텍,2014.12.12. 오후 8:59,[코스닥 공시] 네오위즈게임즈 / 에이스하이텍 / 아이디엔 등,"◇네오위즈게임즈〓재무구조 개선 및 투자재원 확보 위해 630억원 규모의 토지 및 건물을 농협은행에 처분키로 결정.

◇에이스하이텍〓파산신청사유가 해소됨에 따라 한국거래소가 주권매매거래정지 해제 결정.

◇아이디엔〓신규사업 진출을 위해 생물공학 이용 개발을 영위하는 보타메디 주식 4만주를 취득하기로 결정.

◇우전앤한단〓경영효율을 높이기 위해 셋톱박스 사업부문을 분할해 신설회사 한단정보통신을 설립하기로 결정.




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에이스하이텍,2014.12.12. 오후 6:31,"에이스하이텍, 주권매매거래정지 해제","[머니투데이 김도윤 기자]한국거래소는 에이스하이텍에 대해 파산신청사유가 해소됨에 따라 주권매매거래정지가 해제된다고 12일 공시했다. 해제일시는 이달 15일이다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

김도윤기자 justice@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,2014.12.23. 오후 4:58,뒤끝 찜찜한 거래 정지 종목,"거래 정지 에이스하이텍, 거래 재개 뒤 주가 급락.. 시총 100억원 이상 증발



'거래 정지 종목, 뒤끝 좋지 않네.'

지난 4일, 당시 시가총액 300억원대이던 에이스하이텍은 한국거래소로부터 거래 정지를 당했다. 채권자가 채권액 5억원으로 인해 법원에 파산신청을 한 것.

거래소는 법원의 파산신청 기각결정 등 파산사유가 해소될 때까지 거래를 정지했다. 에이스하이텍측은 ""소송대리인을 통해 향후 파산절차 남용을 방지하기 위해 합의나 취하하지 않고 각하 또는 기각 되도록 신속히 대응할 것""이라며 법원의 파산신청 기각을 이끌어 냈다.

이에 거래 정지 열흘만인 지난 15일 거래가 재기됐지만 그 결과는 참담했다. 거래재개 당일 하한가를 기록한 것을 비롯해 4거래일 연속 하락세를 보였다. 소폭 반등했지만 거래 정지 전 700원대였던 주가는 500원대로 내려앉았다. 5억원의 채권액 때문에 시가 총액이 100억원 이상 날아간 셈이다.

이처럼 주식 시장이 지속적인 약세를 보이자 작은 악재에도 주가가 약세를 보이는 현상이 나타나고 있다. 특히 거래 정지는 다양한 이유가 있고 기업 펀더맨털과 상관없는 경우가 많지만 투자자들은 일단 색안경을 쓰고 보는 모습이다.

하지만 거래 정지 이유가 상장 폐지로 연결될 경우도 있어 주의가 필요한 것은 사실이다. 이런 경우는 거래 정지가 해소되더라도 주가가 급락하는 경우가 많다. 또한 거래 정지가 연장되면서 상장 폐지로 이어지는 최악의 사태도 발생한다.

터보테크가 대표적이다.

거래소는 지난 8월 29일 터보테크에 대해 반기감사보고서 제출 시까지 주권매매거래를 정지키로 했다. 이후 반기감사보고서가 제출됐지만 또다시 상장적격성 실질심사 대상으로 결정, 거래 정지를 연장했다. 결국 지난 10일 상장 폐지 결정이 내려졌으며 터보테크는 상장폐지 관련 이의신청서 접수한 상태다.

증권사 한 스몰캡 팀장은 ""약세장일수록 우량주를 중심으로 거래해야 투자 손실을 줄이고 투자 수익을 지킬 수 있다""고 밝혔다.

courage@fnnews.com 전용기 기자


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에이스하이텍,2014.11.05. 오전 9:35,"[특징주]에이스하이텍, 자금 유치 실패 소식에 약세","에이스하이텍(071930)이 자금 유치 실패 소식에 약세를 보이고 있다.

에이스하이텍은 5일 오전 9시 30분 현재 코스닥 시장에서 전 날보다 60원(7.06%) 하락한 790원에 거래되고 있다.

에이스하이텍은 전날 공시를 통해 10억원 규모의 제3자 배정 유상증자를 진행했으나 신주 배정 대상자가 자금을 납입하지 않아 전액 미발행 처리됐다고 밝혔다.

박준석기자 pjs@sed.co.kr

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
에이스하이텍,2014.10.31. 오전 11:37,"에이스하이텍, 12억 규모 어음금 청구 소송서 승소","[이데일리 김도년 기자] 에이스하이텍(071930)은 서울중앙지방법원으로부터 구일종합건설이 제기한 12억 규모의 어음금 청구 소송에서 에이스하이텍 측이 승소한 사실을 확인했다고 31일 공시했다.

회사 측은 “소송 대리인을 통해 원고를 상대로 손해배상 등 소송을 제기할 예정”이라고 밝혔다.





김도년 (kdn82@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이스하이텍,2014.11.13. 오후 10:03,[코스닥 공시] 에이스하이텍 / 대아티아이 / 인터파크 등,"◇에이스하이텍〓운영자금 마련 위해 9억9000만원 규모 3자배정 유상증자 결정.
◇대아티아이〓48억8500만원 규모 화성 동탄 상록아파트 전기공사 수주.
◇인터파크〓주식매수선택권 행사에 따른 자기주식 교부를 위해 자사주 1만7500주 처분 결정.
◇국제디와이〓단기차입금 27억원(자기자본 대비 40.31%) 증가 결정.
◇하림〓자회사 엔에스홈쇼핑 상근감사 일신상 이유로 중도 퇴임.
◇인포피아〓약제 포장장치용 카트리지 관련 특허 취득.

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에이스하이텍,2014.11.13. 오후 5:53,"에이스하이텍, 9.9억원 유상증자","[아시아경제 최대열 기자]에이스하이텍은 운영자금 9억9960만원을 조달하기 위해 제3자배정증자 방식으로 166만6000주를 유상증자키로 했다고 13일 공시했다.

최대열 기자 dychoi@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이스하이텍,2014.10.31. 오후 6:00,"에이스하이텍, 제이케이산업 대상 약 10억원 규모 유상증자 결정","[아시아경제 최동현 기자] 에이스하이텍은 운영자금 마련을 위해 제이케이산업을 대상으로 9억9960만원 규모의 유상증자를 결정했다고 31일 공시했다.

발행신주는 95만2000주이며 신주발행가액은 1050원이다. 납입일은 내달 4일이며 신주상장 예정일은 내달 18일이다.

최동현 기자 nell@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이스하이텍,2014.10.31. 오후 5:59,"에이스하이텍, 9.9억원 규모 3자 배정 유상증자 실시","[머니투데이 오정은 기자]에이스하이텍은 31일 9억9900만원 규모 제3자 배정 유상증자를 실시한다고 공시했다. 3자 배정 대상자는 제이케이산업이다.


[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

오정은기자 agentlittle@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,2014.10.27. 오후 5:35,[코스닥 공시] 에이스하이텍 / 서한 / 에이티테크놀러지 등,"◇에이스하이텍＝최근 주가 급락과 관련해 소액공모 유상증자와 임시 주주총회 개최를 검토 중.
◇서한＝미래자산개발과 281억원 규모 제주 건입동 2차 호텔 신축공사 계약체결.
◇에이티테크놀러지＝안정적인 영업기반 구축을 위해 자회사 테스토피아를 흡수합병키로 결정.
◇톱텍＝삼성디스플레이와 301억원 규모 베트남 OLED 모듈 공정장비 공급계약 체결.
◇동국S&C＝151억원 규모 윈드토너 공급계약 체결.
◇금성테크＝운영자금 마련을 위해 10억원 규모 3자배정 유상증자 결정.

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에이스하이텍,2014.10.27. 오후 12:31,"[공시]에이스하이텍, ""임시주총, 소액공모 유증 등 검토중""","에이스하이텍은 27일 최근 현저한 시황 변동과 관련한 조회공시요구에 ""임시주주총회 개최와 소액공모 유상증자 등의 발행을 검토 중이나 확정된 사항은 없다""고 공시했다.


☞ 공식 SNS계정 [페이스북] [트위터] | ☞ 파이낸셜뉴스 [PC웹] [모바일웹] | ☞ 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트]


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에이스하이텍,2014.10.24. 오후 4:50,"에이스하이텍, 주가 급락 관련 조회공시 요구","[아시아경제 김소연 기자]한국거래소는 24일 에이스하이텍에 대해 최근 주가급락 관련 조회공시를 요구했다. 답변시한은 27일 오후 6시까지다.

김소연 기자 nicksy@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이스하이텍,2014.10.17. 오후 1:57,"에이스하이텍, 슈퍼박테리아 치료제 연구 ICAAC서 발표","[ 한민수 기자 ] 에이스하이텍은 일본 자회사 교토바이오파마(KBP)가 개발 중인 슈퍼박테리아 치료제 로티립신(KBP-1404)의 연구 결과를 감염증치료제학회(ICAAC)에서 발표했다고 17일 밝혔다.

ICAAC는 미국 미생물학회 주최로 열리는 감염증 치료제 분야에서 저명한 학회다. 올해는 워싱턴DC에서 개최됐다.

KBP의 발표 제목은 '메티실린에 저항성을 지닌 황색포도구균을 대상으로 한 로티립신의 약력학·약동학적 효과'였다. KBP는 이번 발표를 통해 로티립신 생체 외 실험에서 kg당 0.04~0.3mg의 작은 용량에서도 강력한 항균 효과가 관찰됐고, 이를 통해 인체 임상의 예측 가능한 약력학·약동학적 지표를 확인했다고 전했다.

교토바이오파마 대표인 겐스케 도코로는 ""우리는 로티립신의 약력학·약동학적 연구를 바탕으로 이 물질이 매우 안전함을 확인했고, 이로써 후속 연구 동력을 확보한 상태""라고 말했다.

로티립신은 새로운 황색포도상구균 치료제 후보물질이다. 현재 성공적으로 인체 임상에 진입해 미국에서 임상1b상을 진행 중에 있다. 이 물질의 한국 시장 권리는 2011년 기술이전을 통해 녹십자가 가지고 있다.

한경닷컴 한민수 기자 hms@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이스하이텍,2014.08.27. 오전 9:06,"에이스하이텍, ICAAC 2014서 '슈퍼박테리아 항생제' 논문 발표","[ 한민수 기자 ] 에이스하이텍은 자회사 교토바이오파마(KBP)가 다음달 열리는 항균 감염증 학회(ICAAC) 총회에서 슈퍼박테리아 항생제 개발현황에 대한 논문을 발표한다고 27일 밝혔다.

KBP는 에이스하이텍의 일본 자회사로 슈퍼박테리아 항생제인 '로티립신(KBP-1404)'을 비롯해 용도변경 신약(repositioning drug)인 LG710(여성 생리통 치료제), LG525(건식 및 습식 황반변성 치료제) 등을 개발하고 있는 바이오 기업이다. 2000년 후반 일본내 바이오벤처 기업중에서 가장 많은 기술이전 계약을 체결한 아리젠제약의 후신이다.

다음달 5~9일 미국 워싱턴에서 열리는 세계 최대의 항균 감염증 학회인 ICAAC에서 KBP의 개발책임자인 나까지마 박사는 현재 미국 식품의약국(FDA) 임상을 진행 중인 메티실린 저항성 포도상구균(MRSA) 감염 치료제인 로티립신에 대한 PK-PD(약물 동태학 및 약역학 작용에 대한 분석) 효능 분석 논문을 발표한다.

이 논문은 다국적 제약사에 효과적인 신약개발의 방향을 제시하는 PK-PD 전문 연구기관인 ICPD와 함께 할 예정이다.

로티립신은 '뎁시펩타이드'라고 불리우는 새로운 개념의 천연항생재다. MRSA에만 반응하는 표적 치료제로 현재 미국에서 임상1상 후반을 진행하고 있다.

임상실험 과정에서 인류 최후의 항생제로 불리우는 '반코마이신'에 비해 20배의 적은 용량으로 최대 300배 빠른 치료효과를 보이고 있다는 설명이다. 이는 직접 세포막에 침투해 5분 이내에 표적 세균만을 살균하는 작용기전 때문이란 것이다.

또 기존 주요 MRSA치료제(반코마이신 자이복스 큐비신 등)에 비해 현저히 높은 안전성을 보이고 있다.

로티립신은 70년의 항생제 개발역사에서 반코마이신 이래 3번째로 임상에 오른 천연 항생제 신약 후보물질이다.

회사 관계자는 ""연내 미국 임상1상을 완료하고 조만간 국내 대형제약사와 공동으로 국내에서 임상2상을 진행할 예정""이라며 ""해외 임상2상은 해외 제약사와 기술이전 계약을 체결해 미국 등에서 진행을 계획하고 있다""고 말했다.

또 MRSA 치료제 이외의 다른 적응증(치료 증상)인 결핵 치료제로서 기술이전 계약도 협의 중에 있다고 전했다.

에이스하이텍은 연초 KBP 인수를 계기로 신약개발 및 동물의약품 제조판매 바이오 전문기업으로 변화를 꾀하고 있다. 앞으로 정부지원 확대가 예상되는 용도변경 신약 사업의 선점을 위해 KBP가 보유한 신약후보물질을 활용해 국내 전문투자회사 및 제약사와 더불어 조인트벤처기업 설립을 추진 중이다.

한경닷컴 한민수 기자 hms@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이스하이텍,2014.09.04. 오후 6:08,"에이스하이텍, 239만여주 신주인수권 행사","[머니투데이 김도윤 기자]에이스하이텍은 4일 239만8900주에 해당하는 신주인수권이 행사됐다고 공시했다. 이는 발행주식총수의 6.99%이다. 신주인수권 행사가액은 1459원이고, 상장예정일은 이달 26일이다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 바로가기]

김도윤기자 justice@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,2014.08.28. 오후 6:27,"에이스하이텍, 60억 규모 신주인수권부사채 만기 전 취득","[이데일리 함정선 기자] 에이스하이텍(071930)은 채권자의 조기상환요청에 따라 60억원 규모 신주인수권부사채를 만기 전 취득했다고 28일 공시했다.

함정선 (mint@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이스하이텍,2014.04.18. 오전 9:57,"[특징주] 에이스하이텍, 유상증자 실시에 하락","에이스하이텍(071930)이 유상증자를 실시한다는 소식에 장 초반 하락하고 있다.

18일 오전 9시 41분 현재 에이스하이텍은 전날보다 4.58% 내린 2290원에 거래되고 있다.

전날 에이스하이텍은 등기 임원인 도코로 겐스케를 상대로 55억원 규모의 유상증자를 실시했다고 공시했다. 자금 조달 목적은 운영자금 마련이다. 발행된 신주는 274만주다.

[손덕호 기자 hueyduck@chosun.com]

chosunbiz.com"
에이스하이텍,2014.04.28. 오후 2:03,"에이스하이텍, 계열사에 24억 대여","[ 이하나 기자 ] 에이스하이텍은 28일 계열사 교토바이오파마코리아에 24억8600만 원을 대여해주기로 했다고 공시했다.

에이스하이텍은 ""특허권 관련 연구개발비 및 운영자금 용도""라고 설명했다.

한경닷컴 이하나 기자 lhn@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이스하이텍,2014.03.28. 오후 6:06,"에이스하이텍, 일본법인 설립에 5억 출자","[머니투데이 정인지 기자]에이스하이텍은 28일 교토바이오파마코리아 설립에 5억원을 출자키로 했다고 공시했다.

교토바이오파마코리아는 에이스하이텍의 100% 자회사이며 연구개발업 등을 영위할 계획이다.





[딱하나! 머니인사이트 딱TV]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

정인지기자 injee@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,2014.04.29. 오후 5:12,"<생생코스닥> 에이스하이텍, 54.9억 규모 3자배정 유상증자 결정","에이스하이텍은 운영자금 조달을 위해 54억9829만원 규모의 제3자배정 유상증자를 결정했다고 29일 공시했다.

신주 270만8518주가 발행되며 신주 발행가액은 2030원, 신주 상장 예정일은 5월 27일이다.

발행대상자는 하닉스바이오파마이다.

[헤럴드경제 뉴스스탠드] [헤럴드 라이브스탁] [SKEC 영어글쓰기대회]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [HOOC]

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
에이스하이텍,2014.04.29. 오후 4:49,"에이스하이텍, 하닉스바이오파마 대상 54억 유증","[머니투데이 정인지 기자]에이스하이텍은 29일 운영자금 54억9800만원을 조달하기 위해 하닉스바이오파마를 대상으로 신주 270만8518주를 발행하는 유상증자를 결의했다고 공시했다.

신주발행가액은 2030원이며 납입일은 이날이다. 신주의 상장예정일은 오는 5월27일이다.

[딱하나! 머니인사이트 딱TV]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

정인지기자 injee@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,2014.04.26. 오전 3:40,[코스닥 증자공시] (25일) 에이스하이텍 등,"▲에이스하이텍=25억원 규모 3자배정 유상증자 결정.

▲오리엔트정공=67억원 규모 주주배정 후 실권주 일반공모 유상증자 결정.

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한국경제신문, 무단 전재 및 재배포 금지"
에이스하이텍,2014.04.25. 오후 4:29,"에이스하이텍, 25억 3자배정 유상증자","[ 한민수 기자 ] 에이스하이텍은 25일 24억8600만원 규모의 운영자금을 마련하기 위해 등기임원인 켄스케 도코로와 코드홀딩스를 대상으로 신주 123만7193주를 발행하는 유상증자를 실시했다고 공시했다.

이번 신주의 발행가액은 2010원이고, 상장예정일은 다음달 23일이다.

한경닷컴 한민수 기자 hms@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
