,기업,기사발행일,기사제목,뉴스기사본문전처리
410,제낙스,2021.03.08. 오전 7:09,[e공시 눈에 띄네]코스닥-5일,아시아경제 이선애 기자장 마감 후 주요공시해성옵틱스억원 규모 제자 배정 유상증자 완료 최대주주 바이오로그디바이스 외 인서 이재선 외 인 변경엘앤에프억원 규모 파생상품 거래 손실 발생유진로봇스캔 모드 변경하는 차원 스캐닝 라이다 센서 특허 취득스킨앤스킨억원 규모 제자 배정 유상증자 완료 최대주주 박준곤 외 인서 더편한 변경안트로젠억원 규모 전환사채권 발행 결정제낙스년 연속 영업손실로 상장폐지 사유 발생헬릭스미스법원 변경수외 인의 주주명부 열람 및 등사 가처분 신청 인용소리바다법원이 중부코퍼레이션의 회계장부 등 열람등사 가처분 신청을 일부 인용억원 규모 제자 배정 유상증자 결정능률현저한 시황변동 관련 조회공시 요구 받아이선애 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 투자 성공의 핵심은 기업분석  바로가기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
419,제낙스,2020.12.03. 오후 2:54,[종목톡톡] 7배 급등한 청보산업을 아시나요,매각 공시 후 주가 변동성 심화전환사채 발행차익실현 영향신항섭 기자  조용히 주가가 폭등했던 청보산업이 투자조합에 매각된다는 소식에 극심한 변동성을 보이고 있다. 일시적인 최고가 경신이 있었지만 전환사채 발행에 대한 부담과 폭등했던 주가에 대한 차익실현이 맞물리면서 상승과 하락을 반복하고 있다. 하지만 현 주가보다 더 높은 매각가에 팔린다는 점에서 추가적 상승이 가능하다는 분석도 나온다.일 금융감독원 전자공시시스템에 따르면 전날 저녁 청보산업은 현 최대주주 및 특별관계인인 안상욱 외 인의 주식 만주를 글로우스앤밸류호 투자조합에 양도하는 계약을 체결했다고 공시했다.총 양수도액은 억만원이며 이 중 .인 억원은 계약금으로 전날 지급됐고 나머지 .인 억만원은 오는 월일 지급될 예정이다. 지급이 완료되면 그로우스앤밸류호 투자조합은 청보산업의 지분 .를 보유해 최대주주가 된다.청보산업은 내년 월일에 열릴 예정인 임시주주총회에서 그로우스앤밸류호 투자조합이 지정한 이사와 감사가 선임되고 당사의 경영권이 이전될 예정이라고 설명했다.그로우스앤밸류디벨롭먼트는 그간 투자조합을 통해 인스코비 골든센츄리 인콘 제낙스 아이에이네트웍스 넥스트사이언스 아이텍  세원 에이프로젠 비덴트 등에 투자했던 이력을 갖고 있다.최대주주의 지분 매각 소식이 나타나자 청보산업의 주가가 큰 변동성을 보이고 있다. 이날 청보산업의 주가는 장 초반 상승 출발해 . 오른 원을 기록하며 사상 최고가를 경신하기도 했다. 하지만 이내 하락 전환해 .의 하락을 기록하기도 했다. 오후 시분께는 다시 상승 전환했다.주가가 하락 전환됐던 배경으로는 전환사채가 꼽힌다. 전날 청보산업은 전날 최대주주의 지분 매각 계약 체결 공시 이후 총 억원의 전환사채 발행을 결정했다고 밝혔다. 총 건의  발행이며 전환가액이 원으로 결정됐다. 이는 전제 주식수의 약 규모다.이로 인해 기존 투자자들이 차익실현에 나선 것으로 풀이된다. 청보산업은 코로나가 발생하기 전에는 원대의 주가가 형성됐으나 코로나 발생에 따른 주가 급락 당시 원까지 떨어졌다. 이후 원까지 주가를 회복했고 분기인 월부터 주가 폭등이 나타났다.분기부터 세계 자동차 산업이 살아나면서 자동차부품업체에 대한 기대감으로 반영된 것이다. 이로 인해 주가가 월부터 전날까지 주가가 배 이상 뛰었다. 월간 기준 수익률은 월 . 월 . 월 . 월 . 월 .에 달한다. 또 저점이었던 지난 월일을 기준으로 하면 무려 배에 달한다.특히 매각가 현 주가보다 높은 주당 만원으로 책정됐다는 점을 감안하면 결국에는 상승할 것이란 분석도 나온다. 한 금융투자업계 관계자는 재무저투자자의 지분 인수이며 주당 매각가를 만원으로 책정했다는 것은 추가적 상승이 가능하다고 판단한 것이라고 전했다.공감언론 뉴시스 . 네이버에서 뉴시스 구독하기  미술품 구매의 즐거운 시작 뉴시스 빅데이터  주가시세표 바로가기 공감언론 뉴시스통신사. 무단전재재배포 금지
433,제낙스,2020.09.07. 오전 6:36,[e 공시 눈에 띄네]코스닥-4일,장 마감 후 주요공시큐로홀딩스계열사 큐로에프앤비의 주식 만주 억만원에 추가 취득 결정이원컴포텍공시변경에 따른 불성실공시법인지정 예고제낙스공시번복에 따른 불성실공시법인 지정예고테스냉각모듈 및 기판지지유닛유기금속화학기상증착장치기판처리장치에 대한 특허권 취득에이씨티 김종서 대표이사 신규선임이민지 기자 .. 내 미래의 궁금증 사주운세로 점쳐보기 네이버에서 아시아경제 뉴스를 받아보세요 요즘 트렌드 모아보고 싶을 땐 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
439,제낙스,2020.08.14. 오후 6:57,분기보고서 제출 마감…쌍용차 등 관리종목 지정,감사인 의견 미달 사유쌍용자동차 박원희 기자  쌍용차 등이 상반기 반기보고서 결과 감사의견이 부적정 의견거절 또는 범위제한 한정 등으로 관리종목으로 지정됐다.반기 보고서 제출 마지막 날인 일 한국거래소에 따르면 오후 시 기준 이와 같은 이유로 관리종목으로 지정된 기업은 전체 개사다.유가증권시장에서는 쌍용차가 감사의견 거절을 받아 관리종목으로 지정됐다.코스닥시장에서는 경남제약헬스케어 한국코퍼레이션 제낙스 등 개사가 지정됐다.거래소는 감사의견이 범위제한 한정이거나 반기검토의견이 부적정 또는 의견거절일 경우 감사인 의견 미달로 해당 종목을 감사보고서 제출 다음 날 관리종목으로 지정한다.관리종목으로 지정되는 날 해당 종목은 매매가 하루 정지된다.외부감사인은 감사 대상 기업의 재무제표에 대해 적정 한정 부적정 의견 거절 중 한 가지 의견을 표명하는데 이중 한정 의견은 감사 범위가 부분적으로 제한되거나 재무제표에 그다지 큰 영향을 미치지는 않을지라도 기업회계 준칙에 따르지 않은 몇 가지 사항이 있을 때 제시한다.부적정 의견은 재무제표에 왜곡이 있다고 보는 것으로 한정 의견보다 심각한 사안일 때 감사인이 표명한다.의견 거절은 감사인이 합리적 증거를 얻지 못해 재무제표 전체에 대해 의견 표명을 할 수 없거나 기업의 존립에 의문을 제기할 만큼 중대한 사항이 발견된 경우 또는 감사인이 독립적인 감사업무를 수행할 수 없을 때 제시한다.반면 적정 의견은 재무제표가 그 기업의 재무상태와 경영성과 현금흐름 등을 회계기준에 따라 적정하게 표시하고 있다는 의미다...집중호우 속보는 네이버 연합뉴스금배지 너무 오래 달지 말자제보하기
440,에스앤씨엔진그룹,2020.09.28. 오후 6:29,"에스앤씨엔진그룹, 반기보고서 `의견거절`", 에스앤씨엔진그룹은 제기 반기보고서가 외부 검토의견 의견 거절을 받았다고 일 밝혔다. 코로나 여파로 중국 현지 실사 불가에 따른 것이다.최정희  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
441,에스앤씨엔진그룹,2020.07.07. 오후 5:58,"에스앤씨엔진그룹, 거래소에 상장폐지 이의신청", 한국거래소 코스닥시장본부는 에스앤씨엔진그룹으로부터 상장폐지 관련 이의신청서를 접수했다고 일 공시했다.거래소는 이로부터 일 이내인 오는 일까지 기업심사위원회를 개최해 상장폐지 여부를 심의의결한 뒤 이로부터 일 이내에 상장폐지 여부를 통지하게 된다.유병돈 기자 .. 년 하반기 재물운연애운건강운 체크 네이버에서 아시아경제 뉴스를 받아보세요  놀 준비 되었다면 드루와 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
447,에스앤씨엔진그룹,2020.03.24. 오전 7:42,에스앤씨엔진그룹 거래정지,한국거래소는 코스닥 상장기업인 에스앤씨엔진그룹에 대해 월 일부터 조회결과 공시후 분 경과시점까지 보통주에 대한 주권매매 거래정지를 조치한다고 일 공시했다.이번 주권매매 거래정지 사유는 풍문 또는 보도 관련이다.한편 에스앤씨엔진그룹은 장 시작 전에 해당 기업공시를 발표했으며 전날 종가가 원이었다.공시 전문으로 이동스톡봇 기자 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 스톡봇이 금융감독원 전자공시시스템과 한국거래소 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다. 네이버에서 국민일보를 구독하세요 국민일보 홈페이지 바로가기   국민일보 무단전재 및 재배포금지
448,에스앤씨엔진그룹,2020.03.16. 오후 5:37,"에스앤씨엔진그룹, 특별관계자 지분변동",에스앤씨엔진그룹은   . . 및 특별관계자의 지분율이 .에서 .로 변동했다고 일 공시했다. 한편 에스앤씨엔진그룹은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 원 거래량은 주로 직전 거래일 대비 원 하락했다.공시 전문으로 이동 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 이상 보유하게 될 경우에 일 이내 발표하는 지분공시다. 일명 룰이라고도 불리며 주식을 추가로 매입하거나 매각해  이상의 지분변동이 생겨도 일 이내에 공시해야 한다.스톡봇 기자 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 스톡봇이 금융감독원 전자공시시스템과 한국거래소 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다. 네이버에서 국민일보를 구독하세요 국민일보 홈페이지 바로가기   국민일보 무단전재 및 재배포금지
450,에스앤씨엔진그룹,2020.03.19. 오전 10:55,"에스앤씨엔진그룹 ""BYD의 하이브리드 신차 프로젝트에 시제품 납품""", 중국 자동차부품 전문기업 에스앤씨엔진그룹은 자회사 진강청다기어유한회사가 의 하이브리드 신차 프로젝트에 기어 제품을 공급한다고 일 밝혔다.는 지난해부터 하이브리드 신차 프로젝트 시제품 제작을 했으며 오는 월에 양산과 연 만대의 매출을 목표로 하고 있다. 진강청다는 의  . 하이브리드 자동차 프로젝트에 필요한 모든 기어 시제품을 제작하고 있다. 하이브리드 자동차에 필요한 기어는 구조가 복잡하여 내연기관 자동차에 비해 높은 정밀도를 요구한다. 시제품 제작기간이 개월임에도 불구하고 진강청다는 지난 일 모든 기어 시제품을 납품했으며 로부터 높은 평가를 받았다.한편 진강청다는 내연기관 자동차 변속기 부품 시장에서도 박차를 가하고 있다. 최근 중국 자동차변속기 생산기업 산동제성변속기유한공사와 단일판매 공급계약을 체결했다. 계약은 년 연결기준 매출액 대비 .에 달하는 계약규모다.진강청다 관계자는 회사는  하이브리드 자동차 기어 시제품을 납품할 수 있는 높은 공정기술 및 회사 관리능력을 갖추고 있고 급변하는 시장에 발 빠르게 대응해 최고의 하이브리드 기어 공급회사가 될 것이라며 기존 내연기관 자동차 기어분야에서도 앞선 기술력으로 시장을 장악해 나갈 것이라고 전망했다.유현석 기자 .. 소름 쫙 년 내 대운 시기 확인하기 네이버에서 아시아경제 뉴스를 받아보세요  놀 준비 되었다면 드루와 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
452,에스앤씨엔진그룹,2020.06.05. 오전 9:10,"헝셩그룹, -0.50% VI 발동",헝셩그룹이 가 발동했다. 전일 대비 . 하락한 원에 거래되고 있다.헝셩그룹 연관 테마남양유업 바디텍메드 헝셩그룹 매일홀딩스 메디앙스 아가방컴퍼니 네오팜 예림당 제로투세븐 깨끗한나라 매일유업 토박스코리아 오가닉티코스메틱차이나하오란 씨케이에이치 글로벌에스엠 완리 에스앤씨엔진그룹 크리스탈신소재 헝셩그룹  골든센츄리 컬러레이 오가닉티코스메틱 로스웰 윙입푸드헝셩그룹의 최근 주일간 외국인/기관 매매내역을 살펴보면 외국인은 주를 순매수했으며 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 . 상승했다.날짜 주가 등락률월 일  .월 일  +.월 일  +.월 일  +.월 일  ..
456,아이엠텍,2021.03.10. 오전 7:50,[e공시 눈에 띄네] 코스닥-9일, 장 마감 후 주요 공시 나이스정보통신보통주 주당 원 현금배당 결정선진뷰티사이언스보통주 주당 원 현금배당 결정우리손에프앤지보통주 주당 원 현금배당 결정네오셈시설 및 운영 자금 확보 위해 억원 규모 전환사채 발행 결정동성화인텍보통주 주당 원 현금배당 결정브이원텍사업 다각화 위해 시스콘 지분 . 억원 상당에 양수 결정선진뷰티사이언스외주위탁생산 방식으로 변경 위해 안산공장 계면활성제 생산라인 전체 중단.지노믹트리대장암 전암 병변 검출방법 특허 취득선진뷰티사이언스장항공장 증설 등 위해 억원 규모 시설투자알서포트보통주 주당 원 현금배당 결정도이치모터스계열사 도이치오토월드에 억원 채무보증 결정자연과환경호반산업과 억원 규모 오산세교지구 블럭 공사 계약 체결삼륭물산보통주 주당 원 현금배당 결정브이원텍타법인 증권 취득자금 조달 위해 억원 규모 전환사채 발행 결정평가정보보통주 주당 원 현금배당 결정삼본전자타법인 증권 취득자금 조달 위해 억원 규모 전환사채 발행 결정보라티알보통주 주당 원 현금배당 결정아이엠텍감사의견 거절에 따라 에스씨트래픽과의 우천형 유리알 공급계약 철회이민우 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 투자 성공의 핵심은 기업분석  바로가기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
458,아이엠텍,2020.08.14. 오후 6:44,"아이엠텍, 반기 검토보고서 `의견거절`", 아이엠텍은 일 감사인으로부터 반기 검토 의견거절을 받았다고 공시했다.감사인인 삼일회계법인은 기초재무제표에 대한 감사범위 제한 주요 감사절차의 제약 계속기업 가정에 대한 불확실성 종속기업 재무정보의 신뢰성 및 연결대상 포함 여부를 의견거절 사유로 꼽았다.김재은  시간 전 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
460,아이엠텍,2020.06.09. 오후 5:34,"아이엠텍, 회생절차 개시 신청", 아이엠텍은 회생절차 신청을 통한 경영정상화 및 계속기업으로서의 가치 보존을 위해 서울회생법원에 회생절차 개시를 신청했다고 일 공시했다.회사 측은 신청 이후 서울회생법원에서 회사가 제출한 회생절차개시신청서 및 첨부서류 등의 심사를 통한 회생절차개시 여부의 결정이 있을 예정이라고 밝혔다.한편 한국거래소 코스닥시장본부는 아이엠텍이 회생절차 개시신청을 함에 따라 주권매매거래정지 기간을 기존 개선기간 종료 후 상장폐지 여부 결정일까지에서 회생절차 개시 결정일까지로 변경한다고 이날 공시했다.유준하 네이버에서 이데일리 구독하기청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
463,아이엠텍,2020.05.11. 오후 2:07,"아이엠텍, CB 발행 결정 철회", 아이엠텍은 이사회 결의를 통해 제회 전환사채권 발행결정을 철회한다고 일 공시했다.지난해 월 일 아이엠텍은 운영자금 억원 조달을 위해 무기명 무보증 사모 전환사채 발행을 결정했다고 공시한 바 있다.김윤지 네이버에서 이데일리 구독하기청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
466,아이엠텍,2020.04.06. 오전 9:19,아이엠텍 거래정지,한국거래소는 코스닥 상장기업인 아이엠텍에 대해 월 일부터 조회결과 공시후 분 경과시점까지 보통주에 대한 주권매매 거래정지를 조치한다고 일 공시했다.이번 주권매매 거래정지 사유는 풍문 또는 보도 관련이다.한편 아이엠텍의 시 분 현재주가는 원으로 직전 거래일 대비 원 하락이며 거래량은 주이다.공시 전문으로 이동스톡봇 기자 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 스톡봇이 금융감독원 전자공시시스템과 한국거래소 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다. 네이버에서 국민일보를 구독하세요 국민일보 홈페이지 바로가기   국민일보 무단전재 및 재배포금지
467,아이엠텍,2020.03.11. 오전 11:25,"아이엠텍, 지난해 영업손실 25억원…전년비 47%↓", 아이엠텍은 연결기준 지난해 영업손실이 전년동기 대비  축소된 억만원으로 집계됐다고 일 공시했다.매출액은 억만원 당기순손실은 억만원으로 집계됐다. 각각 전년동기 대비  증가  축소됐다.회사 측은 손익구조 변동에 대해 전 사업부문 고른 성장 및 수익성향상을 통한 이익 증가라고 설명했다.김윤지 네이버 홈에서 이데일리 구독하기청춘뉘우스 스냅타임 | 이데일리 기자뉴스룸종합 경제정보 미디어 이데일리  무단전재  재배포 금지
473,아이엠텍,2021.01.22. 오전 7:26,[e공시 눈에 띄네] 코스닥-21일, 장 마감 후 주요 공시 고영지난해 분기 연결 기준 잠정실적 억원 영업이익 억원 알엔투테크놀로지운영자금 조달 위해 억원 규모 무기명식 이권부 무보증 비분리형 사모 신주인수권부사채 발행 결정스튜디오산타클로스억원 규모 무기명식 이권부 무보증 사모 전환사채 발행 결정원익삼성전자중국 반도체 공장 법인 삼성중국반도체와 억원 규모 반도체 제조장비 공급 계약공시불이행으로 불성실 공시법인 지정 예고아이엠텍서울회생법원으로부터 회생계획 인가. 대  감자 결정이민우 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 년부터 이렇게 달라진다 필수 체크경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
490,아이엠텍,2020.07.17. 오전 6:42,[e공시 눈에 띄네] 코스닥-16일,장 종료 후 주요 공시텔레칩스사옥 및 시스템반도체 센터 신축을 위해 억원 규모의 투자를 결정했다고 일 공시. 투자금액은 자기자본 대비 ..머티리얼즈주가 안정을 통한 주주가치 제고를 위해 억만원 규모의 자사주 매입을 결정.이노와이즈한국거래소 코스닥시장본부는 전환사채권 발행 결정을 번복을 이유로 일자로 불성실공시법인으로 지정한다고 공시.인베니아운영자금 확보를 위해 억원 규모의 단기차입금 증가를 결정했다고 일 공시. 차입금액은 자기자본 대비 ..아이엠텍한국거래소 코스닥시장본부는 제자배정 유상증자결정 철회를 이유로 일자로 불성실공시법인으로 지정한다고 공시.이민지 기자 .. 년 하반기 재물운연애운건강운 체크 네이버에서 아시아경제 뉴스를 받아보세요  놀 준비 되었다면 드루와 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
494,퓨전,2021.03.10. 오전 8:00,“개강 특수 없다”…이대앞 200m 1층 상점 57곳중 47곳 '쉽니다',지난해 이어 올해도 비대면 강의 진행학생 발길 뚝 끊겨재학생 의존도 높아 매출 만회 어려워폐업까지 속출자영업자뿐 아니라 기업도 갈수록 태산회복도 불투명서울 서대문구에 위치한 이화여대 앞이 월 개강 시즌임에도 불구하고 한산한 모습을 보이고 있다.임유정 기자대학가 외식업계가 여전히 울상을 짓고 있다. 지난해에 이어 올해 역시 신종 코로나바이러스 감염증의 여파로 서울 주요 대학들이 비대면 중심의 강의를 진행하면서 학생들의 발길이 뚝 끊긴 탓이다.텅 빈 거리를 지켜보는 외식업계는 방학이나 개학이나 다를 바가 없다고 하소연 하고 있다. 일반적으로 대학교 인근 상권은 재학생 의존도가 매우 높아 개강시즌인 월이 돌아오면 방학 동안 급감한 매출을 만회하는 대목이지만 경계가 없어지면서 폐업 마저 속출하고 있다.일 한국부동산원에 따르면 서울 대표 대학가 상권으로 꼽히는 홍대합정의 소규모 상가 공실률은 지난해 분기 .로 전년 동기 대비 배 이상 치솟았다. 연세대 서강대 이화여대 등이 모여있는 신촌의 상권도 사정은 비슷하다.외식업계는 자구책으로 배달 서비스를 적극 늘려가고 있다. 하지만 이들은 특수상권이라는 배경이 다시 한 번 발목을 잡는다고 입을 모은다. 일반 상권 대비 임대료 등 부담이 배로 높아 대안을 마련해도 밑 빠진 독에 물 붓기와 같은 상황이 지속 되고 있다.서울 서대문구 이화여대 대학가의 한 편의점에 점포정리 문구가 붙어있다.뉴시스과거 외식업계에 있어 대학가 같은 핵심 상권은 업체 매출을 가르는 주요 척도로 작용했다. 트렌드에 민감해 소비를 주도할 뿐 아니라 소비자와의 접점을 높일수 있어 브랜드 인지도 상승에도 긍정적 영향을 미쳤다. 내국인뿐 아니라 외국인 관광객을 끌어들이는 큰 요소였다.때문에 해당 자리가 빠지면 대형 프랜차이즈 브랜드가 앞다퉈 몰려들었다. 업체 간 경쟁이 치열해지고 있는 상황에서 테이블 회전이 빠르고 안정적인 수익이 나온다는 이유가 컸다. 이를 배경으로 각 기업은 새브랜드를 론칭하면 대학가 그중에서도 여대 앞을 가장 먼저 공략했다.하지만 코로나 사태 이후 상황이 반전됐다. 서울 신촌 이화여대 앞 역시 직격탄을 맞았다. 상권을 지탱해주던 중국인 관광객마저 급감하면서 벼랑 끝에 서 있던 자영업자를 벼랑 아래로 내밀었다. 일부 매장은 주말 영업을 접었고 아예 폐업을 결단하게 만들기도 했다.익명을 요구한 치킨 프랜차이즈를 운영중인 씨는 월 기준 방학 시즌 매출이 방학 전과 비교해 절반 정도인데 코로나 사태 이후 방학이 년 넘게 지속되고 있다고 보면 된다며 이대 앞 상권은 외국인 관광객이 대부분인데 이들 발길이 끊기니까 상권이 도미노처럼 무너졌다고 한숨을 내쉬었다.또다른 퓨전 한식집을 운영하는 씨도 대학 수업이 비대면으로 바뀌면서 학생들의 발길이 줄어든 탓에 이대 정문에서 경의중앙선 신촌역으로 가는  거리에 층 상점 곳 중 최근 곳 정도만 문을 열고 영업을 겨우 이어가고 있는 상황이다고 설명했다.서울 서대문구 신촌거리가 한산한 모습을 보이고 있다.뉴시스프랜차이즈 업계는 본사 차원에서 자구책 마련에 골몰하고 있지만 특수상권만 지원하기도 어렵다는 입장이다. 높은 임대료 등이 부담이 되는 것은 사실이지만 같은 상권이라도 해도 위치에 따라 천차만별인데다 저마다 처한 상황도 다르기 때문에 기준점 마련이 어렵다는 데 그 이유가 있다.프랜차이즈 업계 관계자는 우리나라는 형평성이 굉장히 중요하기 때문에 지원을 하더라도 공평하게 지원을 하는 것이 중요한데 기준 점 마련이 가장 문제다며 신제품을 출시하고 프로모션 등을 활발히 해 배달로 이어지도록 하는 것이 현재로서는 최선이다고 말했다.기업들도 어렵기는 마찬가지다. 삼성웰스토리아워홈프레시웨이 등 급식업체들은 서울대 고려대 이대 등 각각 서울 주요 대학교 내에 푸드코트를 운영하고 있으나 지난해 이후 마이너스 성장을 면치 못하는 중이다.업계 관계자는 지난해 대학교들이 전체적으로 온라인 강의로 전환하면서 매출 타격이 컸다. 몇몇 점포는 폐점도 검토해야 하는 상황이다면서 올해 역시 대학교 온라인 개강 비중이 높아 당분간 어려움이 지속될 것으로 보고 있다고 말했다.이어 통상 대학교 점포는 큰 매출을 기대하기 어렵다. 학생식당 여건상 식단가를 높게 가져갈 수 없기 때문이다며 하지만 최근 오프라인 개강을 준비하는 몇몇 대학교가 있고 백신 보급과 함께 학생들이 돌아오면 점차 실적을 개선할 수 있을 것으로 기대하고 있다고 덧붙였다.데일리안 임유정 기자  데일리안 네이버 구독하기 데일리안 만평보기 제보하기 데일리안  무단전재 변형 무단배포 금지
495,퓨전,2021.03.09. 오후 3:01,불매운동으로 번지는 연예계 학교폭력… 광고·엔터업계 '불똥',연예인 학교폭력과 그룹 멤버 간 괴롭힘 논란이 광고 및 엔터업계로 불똥이 튀었다. 논란이 된 연예인이 출연하고 있던 광고는 줄줄이 중단됐고 소속된 엔터테인먼트 회사의 주가도 급락했다.일 업계에 따르면 최근 인터넷 커뮤니티를 중심으로 학폭 논란 연예인이 광고 모델인 기업의 상품을 불매하자는 움직임이 커지고 있다. 지난 일 한 커뮤니티에 올라온 학폭 논란 연예인 광고 리스트라는 제목의 글에는 가해자들이 잘사는 꼴 못 보겠어서 올려. 가해자 고용한 기업 작품들 알아두자라는 내용과 함께 학폭 의혹이 불거진 연예인의 작품과 광고 브랜드 등이 나열돼 있다.지난 일 한 인터넷 커뮤니티에 올라온 학폭 논란 연예인 광고 리스트라는 제목의 글. /홈페이지 캡처이같은 움직임은 단순히 학폭 논란이 있는 연예인이 출연한 작품과 광고 브랜드 이름을 알리는 데 그치지 않고 업체의 대표번호 등을 적어 다른 이들의 항의 전화를 독려하고 있다. 상황이 이렇게 되자 해당 연예인을 모델로 발탁한 업체들도 선긋기에 나섰다. 학교 폭력 및 전 멤버를 왕따시켰다는 의혹이 불거진 미디어 소속 걸그룹 에이프릴의 이나은을 광고 모델로 기용한 동서식품 무학소주 삼진제약 가방 브랜드 제이에스티나 구두 브랜드 지니킴 등은 공식 소셜미디어에서 해당 콘텐츠를 모두 비공개로 바꾸거나 삭제했다.업계에서는 해당 연예인이 학폭 논란을 시인하지 않더라도 출연 콘텐츠를 삭제하는 등 과거와 달리 선제적으로 대응한다는 점에 주목했다. 피해자 기억이 중요한 증거로 작용하는 학폭 사건의 경우 법적 판단을 거쳐 진위 여부가 가려지려면 상당한 시간이 걸린다. 광고업계 관계자는 학폭 의혹이 불거지거나 관련자로 이름이 언급만 돼도 타격이 있기에 기업이나 방송사로서는 불매운동과 이미지 훼손까지 감수하며 해당 연예인을 기용할 이유가 없다고 말했다.엔터테인먼트 소속 배우 조병규는 자신이 학폭 피해자라고 주장하는 이들과 진실 공방을 벌이고 있다. 조병규 측은 학폭 의혹을 부인하고 있지만 결국 출연 예정이었던  예능프로그램 컴백홈에서 하차했다.  시청자권익센터에 그의 출연을 반대하는 청원 게시물이 게재되는 등 여론이 악화하면서다. 그가 광고 모델을 맡은 알바몬 역시 에서 해당 영상과 사진을 비공개 처리했다.일러스트정다운학폭 논란이 불거진 연예인이 속한 기획사가 상장사인 경우 주가도 영향을 받는다. 키이스트는 소속 배우 지수가 과거 학교폭력 가해 사실을 인정하면서 지난 일 장 중 한때 가량 하락했다. 지난 일 한 커뮤니티에 배우 지수는 학폭 가해자입니다라는 글이 올라온 이후 폭로 글이 쏟아지자 이틀 뒤인 일 지수는 자신의 인스타그램에 사과문을 올리고 학폭 가해자임을 인정했다.지수가 출연했던  드라마 달이 뜨는 강 제작사 빅토리 콘텐츠도 즉각 지수를 하차시켰다. 지난달 첫 방송 후 최고 시청률 .를 돌파하며 인기를 끌었던 퓨전 사극 달이 뜨는 강은 사전제작 드라마로 가량 촬영을 마친 상태였다. 빅토리 콘텐츠 측은  회에서는 해당 배우의 장면을 최대한 삭제하고 이후 방송분은 배역 교체 후 재촬영을 할 예정이라면서 이로 인해 막대한 경제적 손실을 입었다고 밝혔다.엔터테인먼트역시 소속 보이그룹 스트레이키즈의 현진이 학폭 사실을 인정한 지난달 일 주가가 전날보다 . 하락했다. 현진 역시 지난달 한 커뮤니티에 그로부터 학폭을 당했다는 내용의 폭로 글이 올라오는 등 논란이 거세지자 이를 시인했다. 현재 현진이 출연한 광고는 모두 중단된 상태다. 교복 브랜드 아이비클럽은 공식 홈페이지와 에서 그의 홍보물을 모두 삭제했고 메이크업 브랜드 클리오도 관련된 광고를 전면 중단했다.엔터테인먼트업계 관계자는 최근 학폭 논란은 음주운전이나 도박 등 못지않게 심각한 이슈로 인지하고 있다면서 물론 인터넷에 올라온 글만 보고 학폭 사실을 단정할 순 없지만 대체로 데뷔 전 발생한 일인 데다가 피해자를 직접 찾아 상황을 확인해야 하기에 신중하게 대응하려 한다고 말했다.네이버에서 명품 경제뉴스 조선비즈를 구독하세요산불헬기로 빚 갚겠다는 러시아 수리비 비싸 세금 낭비빅테크 플랫폼 견제나선 공정위 투 트랙으로 반발 뚫는다저작권자  조선비즈 무단 전재 및 재배포 금지
